YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 06 07 00 348  9.4 10.3 99.00 99.00 99.00 999 1011.4 999.0 999.0 999.0 99.0 99.00
2021 01 06 08 00 352  8.0  8.8 99.00 99.00 99.00 999 1011.6 999.0 999.0 999.0 99.0 99.00
2021 01 06 09 00 341  9.1  9.8 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2021 01 06 10 00 356  9.0 10.1 99.00 99.00 99.00 999 1011.3 999.0 999.0 999.0 99.0 99.00
2021 01 06 11 00 343  7.7  8.6 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2021 01 06 12 00 334  7.7  8.6 99.00 99.00 99.00 999 1012.1 999.0 999.0 999.0 99.0 99.00
2021 01 06 13 00 335  8.3  9.3 99.00 99.00 99.00 999 1012.6 999.0 999.0 999.0 99.0 99.00
2021 01 06 14 00 336  7.5  8.6 99.00 99.00 99.00 999 1012.6 999.0 999.0 999.0 99.0 99.00
2021 01 06 15 00 332  7.2  8.0 99.00 99.00 99.00 999 1012.5 999.0 999.0 999.0 99.0 99.00
2021 01 06 16 00 329  6.0  7.0 99.00 99.00 99.00 999 1011.9 999.0 999.0 999.0 99.0 99.00
2021 01 06 17 00 310  7.7  8.6 99.00 99.00 99.00 999 1011.6 999.0 999.0 999.0 99.0 99.00
2021 01 06 18 00 312  8.3  9.0 99.00 99.00 99.00 999 1010.9 999.0 999.0 999.0 99.0 99.00
2021 01 06 19 00 308  8.2  9.4 99.00 99.00 99.00 999 1010.8 999.0 999.0 999.0 99.0 99.00
2021 01 06 20 00 301  9.0 10.1 99.00 99.00 99.00 999 1011.1 999.0 999.0 999.0 99.0 99.00
2021 01 06 21 00 321  9.0 10.4 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
2021 01 06 22 00 334  9.8 10.6 99.00 99.00 99.00 999 1012.0 999.0 999.0 999.0 99.0 99.00
2021 01 06 23 00 324  9.0 10.5 99.00 99.00 99.00 999 1012.7 999.0 999.0 999.0 99.0 99.00
2021 01 07 00 00 325  8.9 10.1 99.00 99.00 99.00 999 1013.1 999.0 999.0 999.0 99.0 99.00
2021 01 07 01 00 321  9.2  9.9 99.00 99.00 99.00 999 1013.2 999.0 999.0 999.0 99.0 99.00
2021 01 07 02 00 328  9.7 10.7 99.00 99.00 99.00 999 1013.3 999.0 999.0 999.0 99.0 99.00
2021 01 07 03 00 335  9.2 10.1 99.00 99.00 99.00 999 1013.3 999.0 999.0 999.0 99.0 99.00
2021 01 07 04 00 333  9.5 10.6 99.00 99.00 99.00 999 1013.5 999.0 999.0 999.0 99.0 99.00
2021 01 07 05 00 334  9.9 11.2 99.00 99.00 99.00 999 1013.4 999.0 999.0 999.0 99.0 99.00
2021 01 07 06 00 334  9.7 10.2 99.00 99.00 99.00 999 1013.6 999.0 999.0 999.0 99.0 99.00
2021 01 07 07 00 337  9.0  9.8 99.00 99.00 99.00 999 1014.2 999.0 999.0 999.0 99.0 99.00
2021 01 07 08 00 332 11.3 12.0 99.00 99.00 99.00 999 1014.1 999.0 999.0 999.0 99.0 99.00
2021 01 07 09 00 332  9.2 10.2 99.00 99.00 99.00 999 1014.4 999.0 999.0 999.0 99.0 99.00
