YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
87 01 10 15 120 09.3 09.8 99.00 99.00 99.00 999 1018.5  05.0 999.0 999.0 99.0
87 01 10 16 110 09.8 10.3 99.00 99.00 99.00 999 1017.0  05.0 999.0 999.0 99.0
87 01 10 17 110 09.8 10.3 99.00 99.00 99.00 999 1015.1  05.0 999.0 999.0 99.0
87 01 10 18 110 09.8 10.3 99.00 99.00 99.00 999 1014.2  05.1 999.0 999.0 99.0
87 01 10 19 100 09.3 09.8 99.00 99.00 99.00 999 1012.9  04.8 999.0 999.0 99.0
87 01 10 20 090 11.3 11.9 99.00 99.00 99.00 999 1011.4  05.0 999.0 999.0 99.0
87 01 10 21 080 09.3 10.8 99.00 99.00 99.00 999 1009.8  04.8 999.0 999.0 99.0
87 01 10 22 100 12.9 13.9 99.00 99.00 99.00 999 1007.5  05.8 999.0 999.0 99.0
87 01 10 23 100 11.9 13.4 99.00 99.00 99.00 999 1006.6  06.1 999.0 999.0 99.0
87 01 11 00 100 12.9 14.4 99.00 99.00 99.00 999 1004.4  06.4 999.0 999.0 99.0
87 01 11 01 070 13.4 14.4 99.00 99.00 99.00 999 1001.9  07.0 999.0 999.0 99.0
87 01 11 02 060 11.3 12.4 99.00 99.00 99.00 999 1000.0  07.2 999.0 999.0 99.0
87 01 11 03 080 14.4 15.5 99.00 99.00 99.00 999 0996.5  06.7 999.0 999.0 99.0
87 01 11 04 150 06.7 07.2 99.00 99.00 99.00 999 0994.7  07.8 999.0 999.0 99.0
87 01 11 05 270 02.6 02.6 99.00 99.00 99.00 999 0994.0  06.5 999.0 999.0 99.0
87 01 11 06 300 03.1 03.1 99.00 99.00 99.00 999 0992.9  06.2 999.0 999.0 99.0
87 01 11 07 280 05.1 05.1 99.00 99.00 99.00 999 0993.2  05.9 999.0 999.0 99.0
87 01 11 08 310 03.6 03.6 99.00 99.00 99.00 999 0991.9  05.8 999.0 999.0 99.0
87 01 11 09 290 04.1 04.1 99.00 99.00 99.00 999 0990.2  05.3 999.0 999.0 99.0
87 01 11 10 300 03.6 03.6 99.00 99.00 99.00 999 0988.8  04.2 999.0 999.0 99.0
87 01 11 11 260 05.7 06.2 99.00 99.00 99.00 999 0988.3  03.4 999.0 999.0 99.0
